date,product_id,product_name,category,brand,unit_price,supplier_id,current_stock,reorder_level,units_sold,discount_percentage,is_holiday,is_weekend,month,day_of_week,needs_restock,restock_quantity
2025-08-24,101,Hammer,Fasteners,Bosch,4395.64,19,288,73,10,0,0,1,8,6,No,12
2025-06-25,106,LED Bulb,Paint,Hilti,4071.71,9,282,68,11,0,0,0,6,2,No,48
2025-05-23,107,Cement Bag,Tools,Ingco,4207.81,18,5,47,10,10,0,0,5,4,Yes,295
2025-01-26,102,Screwdriver Set,Electrical,Stanley,4083.21,7,164,29,10,5,0,1,1,6,No,136
2025-01-09,108,Garden Hose,Electrical,Ingco,4263.27,11,0,70,7,15,0,0,1,3,Yes,210
2025-06-25,105,PVC Pipe,Building Materials,Dulux,1446.19,16,94,27,13,15,0,0,6,2,No,296
2025-12-07,109,Safety Gloves,Fasteners,Makita,208.71,7,258,78,10,10,0,1,12,6,No,42
2025-04-25,102,Screwdriver Set,Safety Equipment,Dulux,1608.11,9,111,66,5,15,0,0,4,4,No,39
2025-04-13,104,Paint Bucket 5L,Safety Equipment,Hilti,2160.63,5,74,70,13,10,0,1,4,6,No,316
2025-10-23,107,Cement Bag,Paint,3M,4525.44,1,248,57,11,15,0,0,10,3,No,82
2025-07-07,106,LED Bulb,Building Materials,Hilti,2309.46,12,105,70,15,15,0,0,7,0,No,345
2025-05-03,103,Electric Drill,Fasteners,Nippon,3518.45,15,272,79,13,10,0,1,5,5,No,118
2025-11-25,102,Screwdriver Set,Paint,Nippon,424.56,3,42,67,8,15,0,0,11,1,Yes,198
2025-03-11,105,PVC Pipe,Fasteners,Stanley,1773.66,11,94,30,10,0,0,0,3,1,No,206
2025-09-15,102,Screwdriver Set,Fasteners,Ingco,780.25,10,183,44,11,5,0,0,9,0,No,147
2025-10-23,102,Screwdriver Set,Plumbing,Bosch,4494.26,2,60,77,10,5,0,0,10,3,Yes,240
2025-01-19,102,Screwdriver Set,Paint,Stanley,1196.86,15,169,41,13,10,0,1,1,6,No,221
2025-06-26,102,Screwdriver Set,Gardening,Nippon,534.64,4,45,53,6,10,0,0,6,3,Yes,135
2025-12-31,106,LED Bulb,Paint,Makita,730.87,7,281,76,8,0,0,0,12,2,No,0
2025-05-16,108,Garden Hose,Fasteners,Dulux,2457.61,2,106,67,12,10,0,0,5,4,No,254
2025-02-03,107,Cement Bag,Safety Equipment,Ingco,399.28,16,112,54,8,15,0,0,2,0,No,128
2025-08-15,104,Paint Bucket 5L,Building Materials,Dulux,1004.15,19,213,33,7,0,0,0,8,4,No,0
2025-02-01,104,Paint Bucket 5L,Safety Equipment,Makita,3129.45,15,153,33,9,15,0,1,2,5,No,117
2025-09-10,110,Nails Pack,Electrical,Dulux,823.92,12,237,62,6,15,0,0,9,2,No,0
2025-10-05,103,Electric Drill,Building Materials,Nippon,2707.36,9,226,70,5,5,0,1,10,6,No,0
2025-12-30,107,Cement Bag,Paint,3M,1288.11,6,201,58,8,0,0,0,12,1,No,39
2025-03-26,103,Electric Drill,Paint,Makita,1678.19,15,299,44,7,10,0,0,3,2,No,0
2025-08-16,105,PVC Pipe,Fasteners,Bosch,4463.58,4,66,60,11,10,0,1,8,5,No,264
2025-01-07,104,Paint Bucket 5L,Tools,3M,2542.37,3,33,66,5,10,0,0,1,1,Yes,117
2025-09-16,102,Screwdriver Set,Plumbing,Hilti,3752.65,15,100,25,9,5,0,0,9,1,No,170
2025-04-09,101,Hammer,Building Materials,3M,4508.27,17,228,76,11,0,0,0,4,2,No,102
2025-02-07,102,Screwdriver Set,Plumbing,Nippon,1262.41,15,111,23,5,15,0,0,2,4,No,39
2025-03-23,106,LED Bulb,Fasteners,Makita,4269.01,12,151,74,5,10,0,1,3,6,No,0
2025-04-26,102,Screwdriver Set,Fasteners,Dulux,4227.34,2,228,55,3,0,0,1,4,5,No,0
2025-07-27,105,PVC Pipe,Fasteners,3M,4986.55,12,74,23,15,0,0,1,7,6,No,376
2025-10-30,103,Electric Drill,Paint,Hilti,125.97,4,25,70,12,10,0,0,10,3,Yes,335
2025-08-31,105,PVC Pipe,Electrical,Bosch,4209.05,8,19,68,12,15,0,1,8,6,Yes,341
2025-09-09,108,Garden Hose,Paint,Dulux,2696.22,12,37,56,12,10,0,0,9,1,Yes,323
2025-01-19,108,Garden Hose,Building Materials,Bosch,2579.91,18,258,52,16,0,0,1,1,6,No,222
2025-05-26,102,Screwdriver Set,Electrical,Bosch,1909.23,5,137,63,9,10,0,0,5,0,No,133
2025-10-17,109,Safety Gloves,Tools,Nippon,1088.48,4,100,28,12,5,0,0,10,4,No,260
2025-09-08,109,Safety Gloves,Fasteners,Nippon,3825.12,17,93,50,11,15,0,0,9,0,No,237
2025-02-12,104,Paint Bucket 5L,Gardening,Hilti,4654.69,8,136,53,6,15,0,0,2,2,No,44
2025-09-29,107,Cement Bag,Tools,Makita,988.04,2,269,79,6,15,0,0,9,0,No,0
2025-03-09,107,Cement Bag,Building Materials,3M,901.91,10,131,44,12,0,0,1,3,6,No,229
2025-11-10,102,Screwdriver Set,Plumbing,Makita,4398.28,16,294,59,9,15,0,0,11,0,No,0
2025-02-02,108,Garden Hose,Tools,Nippon,1947.03,2,22,34,10,10,0,1,2,6,Yes,278
2025-08-18,108,Garden Hose,Fasteners,Hilti,2929.68,6,103,59,9,10,0,0,8,0,No,167
2025-10-02,101,Hammer,Building Materials,Hilti,3158.77,10,14,66,11,15,0,0,10,3,Yes,316
2025-02-26,101,Hammer,Gardening,Hilti,3138.36,13,156,57,10,10,0,0,2,2,No,144
2025-01-29,107,Cement Bag,Safety Equipment,Makita,3786.78,7,9,24,6,0,0,0,1,2,Yes,171
2025-11-27,105,PVC Pipe,Electrical,Stanley,4396.15,11,158,66,8,15,0,0,11,3,No,82
2025-01-05,101,Hammer,Paint,Ingco,4247.62,9,156,27,6,0,0,1,1,6,No,24
2025-07-27,105,PVC Pipe,Gardening,Nippon,834.6,18,129,46,7,15,0,1,7,6,No,81
2025-08-23,108,Garden Hose,Safety Equipment,Makita,3241.62,8,298,46,12,5,0,1,8,5,No,62
2025-08-31,102,Screwdriver Set,Tools,Bosch,1793.91,5,37,25,7,5,0,1,8,6,No,173
2025-03-07,104,Paint Bucket 5L,Tools,Bosch,2064.17,9,209,44,6,5,0,0,3,4,No,0
2025-04-14,110,Nails Pack,Plumbing,Ingco,1354.48,16,132,75,12,10,0,0,4,0,No,228
2025-12-11,106,LED Bulb,Tools,3M,212.81,20,286,77,11,5,0,0,12,3,No,44
2025-07-18,110,Nails Pack,Electrical,Stanley,437.72,9,296,41,4,0,0,0,7,4,No,0
2025-09-08,110,Nails Pack,Paint,Ingco,4562.36,14,109,55,6,0,0,0,9,0,No,71
2025-10-19,104,Paint Bucket 5L,Tools,3M,710.85,3,54,70,15,15,0,1,10,6,Yes,396
2025-03-12,105,PVC Pipe,Paint,Makita,2997.25,1,136,29,9,5,0,0,3,2,No,134
2025-12-22,107,Cement Bag,Safety Equipment,Bosch,4033.98,2,74,57,9,0,0,0,12,0,No,196
2025-07-10,107,Cement Bag,Electrical,Stanley,1797.1,7,16,62,8,5,0,0,7,3,Yes,224
2025-10-29,110,Nails Pack,Safety Equipment,3M,260.95,16,24,26,15,5,0,0,10,2,Yes,426
2025-01-25,103,Electric Drill,Electrical,Nippon,911.02,15,153,47,13,15,0,1,1,5,No,237
2025-05-19,107,Cement Bag,Gardening,Stanley,1142.14,17,62,59,10,5,0,0,5,0,No,238
2025-12-02,102,Screwdriver Set,Building Materials,Hilti,2560.76,19,214,70,11,10,0,0,12,1,No,116
2025-10-29,104,Paint Bucket 5L,Paint,Stanley,1128.54,4,284,68,15,15,0,0,10,2,No,166
2025-07-06,102,Screwdriver Set,Gardening,Ingco,279.09,11,17,20,10,5,0,1,7,6,Yes,283
2025-09-15,110,Nails Pack,Building Materials,3M,3900.09,9,112,69,9,15,0,0,9,0,No,158
2025-11-27,104,Paint Bucket 5L,Safety Equipment,3M,2535.36,19,263,48,13,5,0,0,11,3,No,127
2025-11-19,110,Nails Pack,Paint,3M,469.97,5,161,79,13,5,0,0,11,2,No,229
2025-09-05,104,Paint Bucket 5L,Plumbing,Stanley,4023.67,19,246,22,14,5,0,0,9,4,No,174
2025-10-13,102,Screwdriver Set,Tools,Ingco,1232.27,20,53,76,12,0,0,0,10,0,Yes,307
2025-10-10,101,Hammer,Plumbing,3M,4019.59,14,263,53,6,10,0,0,10,4,No,0
2025-02-16,107,Cement Bag,Fasteners,Nippon,4046.04,12,222,74,17,10,0,1,2,6,No,288
2025-06-04,110,Nails Pack,Gardening,Stanley,4492.05,1,35,48,7,5,0,0,6,2,Yes,175
2025-09-22,107,Cement Bag,Gardening,Bosch,2164.98,11,194,42,8,15,0,0,9,0,No,46
2025-01-28,107,Cement Bag,Building Materials,Stanley,267.72,8,255,49,14,10,0,0,1,1,No,165
2025-09-14,103,Electric Drill,Safety Equipment,Dulux,1877.51,5,279,36,14,0,0,1,9,6,No,141
2025-03-30,110,Nails Pack,Plumbing,Stanley,4355.49,18,127,51,10,5,0,1,3,6,No,173
2025-08-03,103,Electric Drill,Fasteners,Ingco,2183.55,19,200,73,10,10,0,1,8,6,No,100
2025-01-22,110,Nails Pack,Plumbing,Bosch,3260.77,9,28,64,9,15,0,0,1,2,Yes,242
2025-10-08,104,Paint Bucket 5L,Building Materials,Ingco,3486.99,5,40,57,10,10,0,0,10,2,Yes,260
2025-09-07,104,Paint Bucket 5L,Gardening,Hilti,429.16,13,75,42,9,10,0,1,9,6,No,195
2025-06-24,104,Paint Bucket 5L,Fasteners,Hilti,622.24,7,286,25,6,5,0,0,6,1,No,0
2025-07-20,108,Garden Hose,Gardening,Dulux,3687.7,17,172,36,7,5,0,1,7,6,No,38
2025-07-02,103,Electric Drill,Electrical,Ingco,2151.98,14,63,21,9,10,0,0,7,2,No,207
2025-02-12,109,Safety Gloves,Electrical,3M,914.79,5,291,70,12,0,0,0,2,2,No,69
2025-04-25,109,Safety Gloves,Gardening,Makita,1302.21,2,163,68,9,15,0,0,4,4,No,107
2025-08-24,105,PVC Pipe,Gardening,3M,3635.51,9,249,55,6,15,0,1,8,6,No,0
2025-08-11,108,Garden Hose,Safety Equipment,Hilti,2745.23,7,72,28,6,0,0,0,8,0,No,108
2025-12-20,101,Hammer,Plumbing,Dulux,1822.55,6,103,61,9,15,0,1,12,5,No,167
2025-06-16,105,PVC Pipe,Plumbing,Bosch,2352.44,14,107,63,4,10,0,0,6,0,No,13
2025-09-22,110,Nails Pack,Gardening,Nippon,4841.73,18,16,29,8,0,0,0,9,0,Yes,224
2025-05-16,101,Hammer,Plumbing,Bosch,3483.75,1,79,43,10,5,0,0,5,4,No,221
2025-09-17,108,Garden Hose,Plumbing,3M,3816.12,10,197,27,11,15,0,0,9,2,No,133
2025-09-05,104,Paint Bucket 5L,Electrical,Hilti,1323.37,12,25,66,10,5,0,0,9,4,Yes,275
2025-10-05,108,Garden Hose,Gardening,Nippon,316.41,16,269,34,10,15,0,1,10,6,No,31
2025-12-06,110,Nails Pack,Tools,Makita,3517.36,15,102,36,10,5,0,1,12,5,No,198
2025-02-02,103,Electric Drill,Fasteners,3M,3285.82,6,97,22,9,10,0,1,2,6,No,173
2025-07-31,103,Electric Drill,Safety Equipment,3M,3511.82,8,38,34,8,0,0,0,7,3,No,202
2025-09-18,109,Safety Gloves,Gardening,Stanley,4039.49,20,209,52,10,15,0,0,9,3,No,91
2025-03-26,103,Electric Drill,Plumbing,Hilti,4441.29,11,226,61,11,0,0,0,3,2,No,104
2025-01-07,109,Safety Gloves,Fasteners,Dulux,4952.67,4,38,65,9,15,0,0,1,1,Yes,232
2025-08-11,104,Paint Bucket 5L,Building Materials,Stanley,1818.49,12,244,63,13,0,0,0,8,0,No,146
2025-12-27,104,Paint Bucket 5L,Tools,3M,3174.78,9,64,49,13,10,0,1,12,5,No,326
2025-06-14,101,Hammer,Fasteners,Bosch,116.4,7,145,56,10,15,1,1,6,5,No,155
2025-02-07,109,Safety Gloves,Fasteners,Bosch,306.26,16,139,78,9,5,0,0,2,4,No,131
2025-02-05,109,Safety Gloves,Tools,3M,4754.81,10,197,58,13,15,0,0,2,2,No,193
2025-07-04,108,Garden Hose,Building Materials,Hilti,4407.68,14,225,44,17,10,0,0,7,4,No,285
2025-10-31,108,Garden Hose,Gardening,Nippon,3742.43,1,62,73,4,10,0,0,10,4,Yes,58
2025-09-09,108,Garden Hose,Tools,Stanley,3077.91,1,225,76,10,10,0,0,9,1,No,75
2025-10-17,102,Screwdriver Set,Fasteners,Stanley,1180.38,9,261,24,7,10,0,0,10,4,No,0
2025-05-20,101,Hammer,Electrical,Ingco,383.43,12,177,37,6,15,0,0,5,1,No,3
2025-02-14,107,Cement Bag,Building Materials,Hilti,3510.5,19,88,28,7,0,0,0,2,4,No,122
2025-08-05,110,Nails Pack,Paint,Ingco,4485.12,2,122,47,14,5,0,0,8,1,No,298
2025-08-09,104,Paint Bucket 5L,Plumbing,3M,2435.72,17,37,27,8,15,0,1,8,5,No,203
2025-04-30,101,Hammer,Tools,Stanley,3509.0,12,283,24,18,10,0,0,4,2,No,257
2025-04-21,106,LED Bulb,Safety Equipment,Ingco,4958.23,16,39,46,11,10,0,0,4,0,Yes,291
2025-11-15,105,PVC Pipe,Tools,3M,4336.02,12,167,47,12,0,0,1,11,5,No,193
2025-02-16,110,Nails Pack,Plumbing,Nippon,4267.85,18,44,44,14,5,0,1,2,6,No,376
2025-03-31,105,PVC Pipe,Paint,Ingco,4657.44,10,44,77,7,0,0,0,3,0,Yes,166
2025-11-11,107,Cement Bag,Tools,Makita,2380.8,12,159,62,14,10,0,0,11,1,No,261
2025-01-02,109,Safety Gloves,Gardening,Hilti,1220.26,11,257,33,15,0,0,0,1,3,No,193
2025-11-28,108,Garden Hose,Plumbing,Makita,3807.52,20,12,65,7,10,1,0,11,4,Yes,198
2025-09-13,110,Nails Pack,Gardening,Bosch,1699.52,5,187,43,11,10,0,1,9,5,No,143
2025-07-02,109,Safety Gloves,Paint,Bosch,4111.53,17,73,60,6,10,0,0,7,2,No,107
2025-01-22,103,Electric Drill,Safety Equipment,Dulux,4818.66,6,221,56,8,0,0,0,1,2,No,19
2025-04-11,103,Electric Drill,Paint,Stanley,602.3,1,241,23,16,5,0,0,4,4,No,239
2025-06-27,110,Nails Pack,Plumbing,Hilti,1574.72,20,192,41,12,0,0,0,6,4,No,168
2025-03-27,110,Nails Pack,Fasteners,Bosch,3142.49,4,6,48,12,0,1,0,3,3,Yes,354
2025-10-14,105,PVC Pipe,Gardening,Dulux,208.41,14,57,42,8,15,0,0,10,1,No,183
2025-10-01,109,Safety Gloves,Tools,Bosch,2284.92,4,38,34,9,0,0,0,10,2,No,232
2025-09-26,106,LED Bulb,Plumbing,Stanley,3994.57,9,129,66,12,0,0,0,9,4,No,231
2025-06-01,106,LED Bulb,Fasteners,Ingco,3434.45,4,235,75,11,5,0,1,6,6,No,95
2025-04-01,108,Garden Hose,Safety Equipment,3M,2218.44,4,83,25,16,10,0,0,4,1,No,397
2025-04-30,105,PVC Pipe,Building Materials,Makita,3824.46,17,57,79,9,15,0,0,4,2,Yes,213
2025-04-21,102,Screwdriver Set,Building Materials,Makita,3649.67,20,280,43,12,10,0,0,4,0,No,80
2025-07-03,101,Hammer,Building Materials,Dulux,1905.78,19,71,79,14,10,0,0,7,3,Yes,349
2025-12-19,107,Cement Bag,Tools,Nippon,1009.08,6,180,43,13,10,0,0,12,4,No,210
2025-09-09,109,Safety Gloves,Fasteners,Nippon,4612.15,20,152,49,11,0,0,0,9,1,No,178
2025-11-15,106,LED Bulb,Plumbing,Stanley,674.81,9,227,28,6,0,0,1,11,5,No,0
2025-07-31,109,Safety Gloves,Fasteners,Nippon,1082.57,17,116,21,10,0,0,0,7,3,No,184
2025-04-17,107,Cement Bag,Building Materials,Stanley,4008.04,12,71,40,8,0,0,0,4,3,No,169
2025-11-04,105,PVC Pipe,Fasteners,Ingco,454.99,13,94,57,9,15,1,0,11,1,No,176
2025-05-23,106,LED Bulb,Tools,3M,1529.15,19,213,70,13,15,0,0,5,4,No,177
2025-05-08,110,Nails Pack,Electrical,Dulux,614.16,8,85,47,6,10,0,0,5,3,No,95
2025-10-24,106,LED Bulb,Safety Equipment,Nippon,3542.08,5,1,52,11,0,0,0,10,4,Yes,329
2025-10-16,110,Nails Pack,Gardening,Dulux,530.55,10,115,45,8,5,0,0,10,3,No,125
2025-01-27,102,Screwdriver Set,Building Materials,Nippon,2044.92,20,173,77,6,5,0,0,1,0,No,7
2025-04-23,108,Garden Hose,Safety Equipment,Hilti,4022.87,4,122,25,7,10,0,0,4,2,No,88
2025-08-28,101,Hammer,Fasteners,Makita,3014.41,15,40,69,11,5,0,0,8,3,Yes,290
2025-11-10,102,Screwdriver Set,Building Materials,Makita,4682.49,14,83,66,17,15,0,0,11,0,No,427
2025-02-08,101,Hammer,Paint,Dulux,4092.64,10,2,60,10,10,1,1,2,5,Yes,298
2025-10-11,106,LED Bulb,Fasteners,Stanley,903.6,6,11,42,9,15,0,1,10,5,Yes,259
2025-08-13,101,Hammer,Fasteners,Hilti,3286.44,2,146,74,10,10,0,0,8,2,No,154
2025-10-31,103,Electric Drill,Tools,Hilti,2403.89,16,299,37,9,15,0,0,10,4,No,0
